street_number,street_name,city,state,country,address,bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,view,pool,commission,sale_date,price_per_sqft,sale_price
3716,Broadlawn DR,Los Angeles,CA,United States of America,"3716, Broadlawn DR, Los Angeles, CA, United States of America",3,2,1731,66,18413,26,Y,N,2.5,44812,745.23,1290000
8909,WONDERLAND PARK AVE,Los Angeles,CA,United States of America,"8909, WONDERLAND PARK AVE, Los Angeles, CA, United States of America",3,2,1708,61,11730,27,Y,N,2.5,44778,1024.59,1750000
2008,Preston AVE,Los Angeles,CA,United States of America,"2008, Preston AVE, Los Angeles, CA, United States of America",3,2,1056,97,1755,28,Y,N,2.5,44865,1160.04,1225000
6124,Del Valle DR,Los Angeles,CA,United States of America,"6124, Del Valle DR, Los Angeles, CA, United States of America",3,2,1785,98,8250,29,Y,N,2.5,44861,1288.52,2300000
3974,Dublin AVE,Los Angeles,CA,United States of America,"3974, Dublin AVE, Los Angeles, CA, United States of America",3,2,1636,87,5403,29,Y,N,2.5,45062,574.57,940000
3425 W,27th ST,Los Angeles,CA,United States of America,"3425 W, 27th ST, Los Angeles, CA, United States of America",3,2,1491,83,19368,29,Y,N,2.5,44841,1582.83,2360000
2223,Benecia AVE,Los Angeles,CA,United States of America,"2223, Benecia AVE, Los Angeles, CA, United States of America",3,2,1783,84,5859,29,Y,N,2.5,45044,1169.38,2085000
3517,Enville PL,Los Angeles,CA,United States of America,"3517, Enville PL, Los Angeles, CA, United States of America",3,2,1423,75,6396,3,Y,N,2.5,44910,706.25,1005000
2206,Sunset Crest DR,Los Angeles,CA,United States of America,"2206, Sunset Crest DR, Los Angeles, CA, United States of America",3,2,1500,65,10317,3,Y,N,2.5,45021,1333.33,2000000
520 N,Citrus AVE,Los Angeles,CA,United States of America,"520 N, Citrus AVE, Los Angeles, CA, United States of America",3,2,1574,85,5113,30,Y,N,2.5,44911,1174.71,1849000
6121 S,Verdun AVE,Los Angeles,CA,United States of America,"6121 S, Verdun AVE, Los Angeles, CA, United States of America",3,2,1400,76,5720,30,Y,N,2.5,44816,983.57,1377000
7181,Chelan WAY,Los Angeles,CA,United States of America,"7181, Chelan WAY, Los Angeles, CA, United States of America",3,2,1989,61,17440,30,Y,N,2.5,44819,1417.8,2820000
467,Denslow AVE,Los Angeles,CA,United States of America,"467, Denslow AVE, Los Angeles, CA, United States of America",3,2,2364,74,9021,31,Y,N,2.5,44993,1226.73,2900000
3596,Tacoma AVE,Los Angeles,CA,United States of America,"3596, Tacoma AVE, Los Angeles, CA, United States of America",3,2,1345,99,5017,32,Y,N,2.5,44818,687.73,925000
730 E,84th ST,Los Angeles,CA,United States of America,"730 E, 84th ST, Los Angeles, CA, United States of America",3,2,1834,95,5100,32,Y,N,2.5,45005,327.15,600000
2930,Cavendish DR,Los Angeles,CA,United States of America,"2930, Cavendish DR, Los Angeles, CA, United States of America",3,2,2056,72,7251,33,Y,N,2.5,44879,1191.63,2450000
10507,Butterfield RD,Los Angeles,CA,United States of America,"10507, Butterfield RD, Los Angeles, CA, United States of America",3,2,1915,84,6213,34,Y,N,2.5,44817,1033.94,1980000
1316,Waterloo ST,Los Angeles,CA,United States of America,"1316, Waterloo ST, Los Angeles, CA, United States of America",3,2,1392,120,7500,34,Y,N,2.5,45055,1290.95,1797000
3825 S,Hobart BLVD,Los Angeles,CA,United States of America,"3825 S, Hobart BLVD, Los Angeles, CA, United States of America",3,2,1256,110,4962,35,Y,N,2.5,45002,597.13,750000
7030,Los Tilos RD,Los Angeles,CA,United States of America,"7030, Los Tilos RD, Los Angeles, CA, United States of America",3,2,2051,67,12463,35,Y,N,2.5,45048,950.76,1950000
10300,VIRETTA LN,Los Angeles,CA,United States of America,"10300, VIRETTA LN, Los Angeles, CA, United States of America",3,2,2096,91,10251,36,Y,N,2.5,44792,820.61,1720000
345 W,66th ST,Los Angeles,CA,United States of America,"345 W, 66th ST, Los Angeles, CA, United States of America",3,2,832,102,4570,38,Y,N,2.5,44988,715.14,595000
11455,Woodbine ST,Los Angeles,CA,United States of America,"11455, Woodbine ST, Los Angeles, CA, United States of America",3,2,1560,72,5614,38,Y,N,2.5,44979,913.46,1425000
3451,Griffith Park BLVD,Los Angeles,CA,United States of America,"3451, Griffith Park BLVD, Los Angeles, CA, United States of America",3,2,1563,82,7456,39,Y,N,2.5,44886,1119.64,1750000
1827 W,78th ST,Los Angeles,CA,United States of America,"1827 W, 78th ST, Los Angeles, CA, United States of America",3,2,1276,97,6700,4,Y,N,2.5,45063,599.53,765000
4233,Walton AVE,Los Angeles,CA,United States of America,"4233, Walton AVE, Los Angeles, CA, United States of America",3,2,1344,102,6000,4,Y,N,2.5,45058,457.59,615000
