bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,commission,sale_price,population,median_family_income,price_per_sqft,county_Orange,county_Riverside,county_San Bernardino,view_Y,pool_Y
3,2.0,1860,75,7283,0,2.5,810000.0,3862210,71505.72,435.48387096774195,0,0,0,0,0
3,2.0,1491,85,6652,0,2.5,1775000.0,3862210,71505.72,1190.4761904761904,0,0,0,0,0
3,2.0,1168,100,4802,0,2.5,1050000.0,3862210,71505.72,898.972602739726,0,0,0,0,0
3,2.0,1040,100,4829,0,2.5,649900.0,3862210,71505.72,624.9038461538462,0,0,0,0,0
3,2.0,1276,16,3249,0,2.5,605000.0,3862210,71505.72,474.13793103448273,0,0,0,0,0
3,2.0,2308,96,7207,0,2.5,2200000.0,3862210,71505.72,953.2062391681109,0,0,0,0,0
3,2.0,1782,97,8246,0,2.5,2100000.0,3862210,71505.72,1178.4511784511785,0,0,0,0,0
3,2.0,1233,72,6292,0,2.5,975000.0,3862210,71505.72,790.7542579075425,0,0,0,0,0
3,2.0,1785,98,6463,0,2.5,2400000.0,3862210,71505.72,1344.5378151260504,0,0,0,0,0
3,2.0,1472,97,6700,0,2.5,550000.0,3862210,71505.72,373.64130434782606,0,0,0,0,0
3,2.0,1923,87,6150,0,2.5,1900000.0,3862210,71505.72,988.0395215808633,0,0,0,0,0
3,2.0,1092,76,5101,0,2.5,600000.0,3862210,71505.72,549.4505494505495,0,0,0,0,0
3,2.0,1414,94,4803,0,2.5,540000.0,3862210,71505.72,381.8953323903819,0,0,0,0,0
3,2.0,1457,82,5854,0,2.5,1035000.0,3862210,71505.72,710.3637611530543,0,0,0,0,0
3,2.0,1546,83,6748,1,2.5,860000.0,3862210,71505.72,556.27425614489,0,0,0,0,0
3,2.0,1872,98,6550,10,2.5,2160000.0,3862210,71505.72,1153.8461538461538,0,0,0,0,0
3,2.0,1610,75,5129,10,2.5,1250000.0,3862210,71505.72,776.3975155279503,0,0,0,0,0
3,2.0,1312,102,7024,10,2.5,1750000.0,3862210,71505.72,1333.841463414634,0,0,0,0,0
3,2.0,2103,73,6534,10,2.5,2272865.0,3862210,71505.72,1080.772705658583,0,0,0,0,0
3,2.0,1267,82,5980,10,2.5,1625000.0,3862210,71505.72,1282.5572217837412,0,0,0,0,0
3,2.0,1084,79,5479,10,2.5,660000.0,3862210,71505.72,608.8560885608856,0,0,0,0,0
3,2.0,1469,83,6000,10,2.5,1515000.0,3862210,71505.72,1031.3138189244385,0,0,0,0,0
